Company_ID,Comp_Name,Region,Emissions_in_KG,Power_MWh,Year
1000044,Company_1000044,Asia,45719034.979587205,991.0493172092712,2026
1000126,Company_1000126,Africa,46537834.028014176,779.6057222257616,2025
1000299,Company_1000299,Europe,34149.11178457195,891.3447126479887,2025
1000393,Company_1000393,Europe,14565.554618922011,932.5503397266895,2024
1000405,Company_1000405,Europe,30802371.34063392,788.311327428929,2025
1000422,Company_1000422,South America,45700.88588060941,892.0964557032642,2025
1000430,Company_1000430,Asia,36524.48551461561,999.4660336242589,2024
1000488,Company_1000488,Europe,19468247.88428208,395.3520495339671,2024
1000516,Company_1000516,South America,47028126.92693266,547.3639339961532,2026
1000715,Company_1000715,Africa,42059.51146758853,598.1573005324619,2025
1000746,Company_1000746,South America,8593368.872706762,449.76474611205236,2024
1000768,Company_1000768,Africa,44192.38006460124,516.406947578548,2026
1000792,Company_1000792,South America,45492.25627246162,333.4218079890453,2025
1000806,Company_1000806,Asia,5381807.770371185,579.7824143284101,2026
1000816,Company_1000816,Asia,39652350.4618668,543.4595892568539,2026
1000914,Company_1000914,Asia,48919.924147832724,327.73274043368076,2026
1000938,Company_1000938,Europe,41444.98201938823,542.8198870863816,2026
1001016,Company_1001016,Asia,13585.378266473206,300.9676985679969,2025
1001160,Company_1001160,North America,32933724.530814186,679.6835378639851,2026
1001290,Company_1001290,Asia,18036430.06871275,437.963499148211,2025
1001344,Company_1001344,South America,23285895.37696955,318.8067692354058,2025
1001541,Company_1001541,Asia,38675.837464605094,191.52403566707318,2026
1001552,Company_1001552,Asia,15515.25969958265,566.9723344905352,2024
1001584,Company_1001584,Africa,22970.799213150018,627.7106595323971,2024
1001621,Company_1001621,Europe,44469.16239395976,784.5934439763593,2024
1001715,Company_1001715,North America,37176.90810945671,849.2826531001036,2025
1001866,Company_1001866,Asia,32883.095431262926,275.45165956466894,2024
1001870,Company_1001870,Europe,37799173.71358922,966.7107208755077,2025
1001885,Company_1001885,North America,41111327.5113578,224.00159013793683,2025
1002086,Company_1002086,Asia,25721.185201943656,208.40659262356058,2025
1002125,Company_1002125,Africa,24932.182865407915,709.9124389883157,2024
1002208,Company_1002208,North America,43161.56673741513,155.038612753001,2025
1002372,Company_1002372,Europe,6160.747372144388,212.65839243845318,2025
1002603,Company_1002603,Asia,20843.602171395825,470.7564223618339,2024
1002633,Company_1002633,North America,31922.382301255435,480.94529391906383,2026
1002646,Company_1002646,Europe,34798.669833376116,438.7050538348375,2026
1002703,Company_1002703,Asia,12092778.895331204,462.9191186627473,2025
1002714,Company_1002714,South America,41971171.6824111,910.817564461662,2024
1002753,Company_1002753,Africa,18494.161597900544,810.4799526309563,2025
1002780,Company_1002780,Europe,25789046.736022063,902.7343252186803,2026
1003043,Company_1003043,Asia,34237.59750190255,193.36524177526206,2026
1003304,Company_1003304,Africa,16734.82331223118,771.3184783509575,2025
1003314,Company_1003314,Asia,6568.94282879167,198.73286302043437,2026
1003368,Company_1003368,Africa,42569.47546804119,806.141292361367,2024
1003602,Company_1003602,North America,13479.205065587608,236.49055486623135,2025
1003670,Company_1003670,North America,45048896.12916323,190.840808537289,2024
1003772,Company_1003772,North America,48639.394902545835,428.7307012879582,2026
1003790,Company_1003790,Europe,37697464.832701564,806.7630312668333,2025
1003876,Company_1003876,Europe,14645244.475071363,121.8548077738411,2024
1004014,Company_1004014,Africa,26432.827228314574,964.071358137844,2026
1004067,Company_1004067,Europe,6613.08193626278,474.79814937531086,2024
1004071,Company_1004071,Asia,44725274.20934515,388.36871740177475,2025
1004083,Company_1004083,South America,45034449.54138936,848.0446999364773,2025
1004167,Company_1004167,Europe,41336.5321787282,566.4252644608151,2024
1004253,Company_1004253,North America,34147.505063962926,577.7729190780071,2025
1004338,Company_1004338,Africa,7511.994192039478,459.87271537035303,2026
1004423,Company_1004423,South America,11934.999406451529,564.6018576395604,2025
1004519,Company_1004519,South America,41398680.50924799,607.5973155938395,2025
1004556,Company_1004556,Africa,25843513.99345144,198.24621159815064,2025
1004671,Company_1004671,Europe,28009337.819124024,549.7670087718516,2026
1004683,Company_1004683,Asia,37536858.59296515,356.2424938714003,2026
1004927,Company_1004927,Asia,11497.071281789664,217.32287822995897,2026
1005057,Company_1005057,North America,30283.329031285,142.79805216306826,2024
1005168,Company_1005168,North America,47125817.83373344,364.2353788809024,2026
1005212,Company_1005212,South America,12771.166295153513,451.1930228882527,2025
1005325,Company_1005325,South America,26486.1990493827,433.1209952328504,2026
1005368,Company_1005368,Africa,48634.23015219158,345.0176382050904,2025
1005392,Company_1005392,Europe,47344825.83830676,577.4281179859586,2025
1005495,Company_1005495,Asia,9310176.03928869,131.6631161147591,2026
1005499,Company_1005499,South America,44633.30432183073,571.5754622419232,2024
1005509,Company_1005509,Asia,46128.73756305065,267.7045153469601,2025
1005553,Company_1005553,Asia,14455393.949896906,496.854887503684,2024
1005566,Company_1005566,North America,20518694.087349635,150.718106187506,2024
1005609,Company_1005609,North America,29842379.341783002,225.34887922488252,2026
1005786,Company_1005786,Asia,6461.437873229084,240.1688251342918,2024
1005789,Company_1005789,South America,45766659.166643396,801.633103676638,2026
1005867,Company_1005867,Asia,10246.628359974347,556.4506962510792,2026
1006266,Company_1006266,Asia,32652398.63618108,601.078552868551,2026
1006582,Company_1006582,South America,48498501.38000844,503.4767442621241,2026
1006637,Company_1006637,Africa,13164807.67766844,651.6979331607718,2024
1006707,Company_1006707,Europe,13837.761904308469,646.9846145009757,2026
1006813,Company_1006813,Africa,24441.923584859946,389.8794078505776,2024
1006817,Company_1006817,North America,22345.99042062053,963.8014220489221,2025
1006906,Company_1006906,Africa,20966767.775774345,634.6240098750152,2026
1006918,Company_1006918,Asia,10015.878900222217,934.0174847349997,2026
1006934,Company_1006934,Asia,34588.418661348056,953.0240349912739,2025
1007249,Company_1007249,Africa,10145.797437988731,683.2060900971695,2025
1007293,Company_1007293,North America,23798.5678862593,664.8091957704243,2025
1007411,Company_1007411,South America,19065.02807094848,167.8605582863097,2025
1007518,Company_1007518,South America,17639966.18481481,265.3554215238255,2024
1007725,Company_1007725,North America,35984856.12818295,588.7027279311928,2025
1007758,Company_1007758,North America,36129.091765494406,841.7005670319746,2025
1007885,Company_1007885,Asia,29892.85567607987,980.7462285363258,2024
1007951,Company_1007951,Africa,49844.575018738535,608.0025750837319,2026
1008216,Company_1008216,South America,25316620.16047284,693.5578762988745,2024
1008459,Company_1008459,Africa,28515.36933907161,109.50972847568012,2026
1008544,Company_1008544,South America,47599817.53023259,285.485780973446,2024
1008642,Company_1008642,Africa,34257.60840623034,628.7916317069056,2025
1008722,Company_1008722,Europe,25301.546459499838,786.3343592210396,2025
1008780,Company_1008780,Africa,48730.47741160346,788.6036902365797,2026
1009110,Company_1009110,South America,44083.94009216052,974.2091346148604,2024
1009338,Company_1009338,South America,47233.38856465749,642.8990067470893,2026
1009522,Company_1009522,Africa,48708520.301592395,453.597356017049,2025
1009569,Company_1009569,South America,14602656.170808533,468.27812243199753,2025
1009706,Company_1009706,Europe,49241.01991894165,397.15397836715385,2024
1009742,Company_1009742,North America,45522.81855738476,714.2149849567063,2026
1009827,Company_1009827,Africa,23162637.436054762,631.5241690528879,2026
1009833,Company_1009833,North America,23707724.970033288,232.2460048357075,2024
1009906,Company_1009906,Europe,42744546.86886394,483.29738926331186,2025
1010035,Company_1010035,Asia,15006.676241540788,126.74550939109106,2024
1010156,Company_1010156,South America,15768.357467160842,475.92898376384244,2026
1010183,Company_1010183,South America,5802082.58830315,426.8418421172572,2024
1010284,Company_1010284,Asia,18435.925559446387,287.1692896674365,2024
1010297,Company_1010297,Europe,7175.129111424067,493.48091485979944,2025
1010380,Company_1010380,South America,26659.287641631236,191.5403068669754,2026
1010488,Company_1010488,South America,24903.302941866285,449.556956096973,2024
1010550,Company_1010550,South America,46291172.123800345,504.95454352176444,2024
1010575,Company_1010575,Asia,34969.65446790417,850.0434737407535,2026
1010601,Company_1010601,Europe,14672.690869989616,476.2809788324934,2026
1010805,Company_1010805,Europe,41568.71482585592,527.1229164441164,2026
1010848,Company_1010848,Europe,42495.16383340181,671.8078346778418,2026
1010858,Company_1010858,Europe,29924084.12101489,808.4865572075744,2025
1010971,Company_1010971,Asia,23842.69740691241,496.8492087228793,2026
1011000,Company_1011000,Asia,23768394.258206125,304.7129896005799,2026
1011127,Company_1011127,Europe,32383524.015328914,420.9288086331122,2025
1011205,Company_1011205,Asia,36730.25510781689,446.19412506725337,2025
1011215,Company_1011215,North America,25220867.66776803,459.01024237531476,2025
1011518,Company_1011518,Europe,20496.19484583843,623.9967070712888,2025
1011542,Company_1011542,Europe,34649628.367994584,251.74744434020505,2025
1011612,Company_1011612,Europe,37600.43236797076,158.73110899153465,2025
1011804,Company_1011804,Africa,21083.244973821573,491.9213401643818,2024
1011815,Company_1011815,Europe,18299.476644639515,763.2601933785631,2024
1011819,Company_1011819,Africa,9748.992024757825,825.061715910381,2025
1011896,Company_1011896,Africa,38074227.981154226,892.8012279461061,2026
1011907,Company_1011907,Asia,22297.830479292214,752.5148552270683,2024
1012022,Company_1012022,Asia,46396849.97139027,764.6290435160871,2026
1012427,Company_1012427,South America,28561.030748123558,860.7033311840227,2025
1012516,Company_1012516,Africa,38367.1988940739,922.5225529829372,2024
1012542,Company_1012542,Asia,37482.21794887942,741.30854538888,2025
1012909,Company_1012909,Europe,9944.45406539937,285.3992848066292,2025
1013055,Company_1013055,South America,22222.672466634976,688.6242714737967,2026
1013334,Company_1013334,North America,16441.32162220537,565.9523209688289,2026
1013335,Company_1013335,Europe,45302.73698858607,151.28902837623403,2026
1013367,Company_1013367,South America,11401142.557452146,129.61131010508575,2024
1013409,Company_1013409,South America,22890.763135639256,392.0783368897602,2025
1013519,Company_1013519,Europe,33023276.0879025,716.4879473059844,2024
1013544,Company_1013544,North America,27206.128877498777,903.5344847006485,2024
1013727,Company_1013727,Asia,42910097.76452998,646.3378617275968,2026
1013756,Company_1013756,Africa,42748.013187681856,282.69580666498314,2024
1013851,Company_1013851,Europe,31651.931691785394,635.4504193559857,2025
1013893,Company_1013893,Africa,43700696.22756522,664.6473540259777,2026
1013991,Company_1013991,Asia,30193777.51451934,441.9684762646731,2024
1014044,Company_1014044,Asia,45741938.898235634,654.5670941667145,2026
1014149,Company_1014149,Asia,5289223.187376765,921.7510241587244,2025
1014203,Company_1014203,South America,21053.39709024171,870.719823006884,2024
1014259,Company_1014259,Asia,21648.228771673083,673.5076031360472,2026
1014447,Company_1014447,South America,24272632.140960336,388.92812468718574,2024
1014735,Company_1014735,North America,10373.220374723118,871.1056944013731,2025
1014882,Company_1014882,Europe,35812.877264911556,151.79508875351442,2026
1014891,Company_1014891,South America,17109.070964891136,888.7240446587955,2025
1014893,Company_1014893,South America,34490.48685835269,447.1773328617343,2024
1014968,Company_1014968,Africa,28885.203210853244,928.0499451712328,2026
1015139,Company_1015139,Europe,15299827.665279504,510.292944009222,2026
1015212,Company_1015212,South America,37377717.64274787,713.1831487176166,2024
1015463,Company_1015463,North America,46764149.216041334,178.39904650330632,2024
1015527,Company_1015527,Europe,42976.474466387546,617.04097201877,2025
1015853,Company_1015853,Asia,35171.71847235313,836.41804903129,2024
1015955,Company_1015955,Asia,5708.870076698736,614.7661381391928,2025
1016450,Company_1016450,Africa,31960.7606795807,365.66921385310667,2025
1016468,Company_1016468,Europe,10982.860675372838,878.6937999549436,2025
1016536,Company_1016536,Europe,20249.96478906586,166.6864168237914,2026
1016657,Company_1016657,Europe,14297169.364939483,742.2903502618293,2024
1016774,Company_1016774,North America,25249.56139597831,904.990243683216,2026
1017161,Company_1017161,Africa,21903.502898021576,885.8026848897728,2026
1017243,Company_1017243,Asia,18722.515910017937,264.58287985641323,2026
1017245,Company_1017245,North America,40157.35732140785,320.29533797514375,2026
1017252,Company_1017252,Europe,14270817.606913945,921.0001694956105,2025
1017387,Company_1017387,South America,17897.057405028427,577.9930609402613,2026
1017467,Company_1017467,North America,20026457.244591977,623.0832763667285,2025
1017682,Company_1017682,Africa,15431.740486329254,539.3687791891421,2024
1017741,Company_1017741,Africa,42995795.735830046,137.12990907433155,2025
1017873,Company_1017873,Africa,44940.00448977416,484.35316838862605,2025
1018079,Company_1018079,South America,11706.24912582012,494.774548741644,2026
1018084,Company_1018084,North America,33777.112549180034,819.2026250158212,2026
1018177,Company_1018177,South America,34632.375389528315,200.26924566921357,2026
1018501,Company_1018501,Asia,28231089.28130261,162.6521534513567,2026
1018737,Company_1018737,South America,48807.59967684026,594.3514601474819,2025
1019132,Company_1019132,Europe,15911139.826033829,768.9101172235272,2026
1019198,Company_1019198,North America,15599.162451199714,447.5944074136236,2025
1019312,Company_1019312,Europe,36817.8203282614,321.4126895338687,2025
1019428,Company_1019428,Europe,27288865.69271309,433.52397558458506,2025
1019528,Company_1019528,South America,42461198.07204255,194.9416054517742,2025
1019772,Company_1019772,Europe,41630.30699276548,846.3229830033174,2024
1019776,Company_1019776,Africa,9834.884497197978,993.1172199684579,2024
1020038,Company_1020038,Europe,5418236.410003654,756.0509164091129,2025
1020103,Company_1020103,South America,22502.63453009172,474.1701005123159,2026
1020291,Company_1020291,North America,41501440.40388096,135.59047762878288,2024
1020604,Company_1020604,Europe,49669021.58358739,164.67588418609517,2025
1020680,Company_1020680,Africa,13973699.046775226,641.1233342542421,2026
1020892,Company_1020892,Africa,16507.70992542991,392.7805234207684,2025
1021029,Company_1021029,South America,32655.33267679657,272.4721805813533,2024
1021052,Company_1021052,North America,12624.62814435065,622.5450157646075,2026
1021136,Company_1021136,Asia,16917.214353513446,111.0693960202004,2026
1021423,Company_1021423,Asia,39441.96791378901,992.088578408883,2026
1021686,Company_1021686,Africa,6884.028511792594,263.47174677723405,2026
1021834,Company_1021834,South America,37871.10377627456,597.7403193616076,2025
1021981,Company_1021981,North America,20922548.92025274,429.01752467745655,2025
1022042,Company_1022042,North America,14784.865354857335,544.641535915316,2024
1022076,Company_1022076,South America,17924.284881510826,818.9511560344413,2024
1022132,Company_1022132,South America,10279.416162001911,570.7587039174011,2024
1022135,Company_1022135,Europe,9649.228158416836,408.1057244508086,2026
1022539,Company_1022539,South America,46699.587815598556,816.9938984119528,2025
1022562,Company_1022562,Europe,6858.384186365218,546.8483231193889,2026
1022815,Company_1022815,North America,16182.43259728739,375.07258453845895,2026
1023250,Company_1023250,Asia,28825.48287425342,637.6880015863075,2026
1023321,Company_1023321,South America,6260.726119251048,298.48644087250096,2024
1023346,Company_1023346,North America,37997673.30464016,580.9638087070822,2025
1023547,Company_1023547,Africa,23888.042868504795,659.6625153599107,2026
1023689,Company_1023689,Asia,49879417.14183185,362.85235051216046,2024
1023713,Company_1023713,Asia,43652986.38222577,791.1008927159163,2026
1023723,Company_1023723,South America,27064518.461954836,999.1698659126318,2024
1023811,Company_1023811,Europe,8886.16363392898,930.5626919302805,2024
1024097,Company_1024097,North America,21869073.506289586,248.484143514774,2024
1024351,Company_1024351,North America,30908.11786360495,682.3040949138582,2025
1024363,Company_1024363,Asia,25485.446460622396,280.5968292935648,2024
1024366,Company_1024366,Africa,18672.320372904494,230.2821030962618,2025
1024434,Company_1024434,Asia,25699.23589670724,155.22439107887706,2026
1024519,Company_1024519,South America,12875300.274959039,332.36562877079433,2025
1024597,Company_1024597,North America,33883.1240936943,873.9706599578782,2026
1024695,Company_1024695,South America,44130.219389225495,180.29762856668748,2024
1024829,Company_1024829,Africa,30857.77688351114,145.66829700670775,2026
1024967,Company_1024967,South America,23986.903875363725,388.5373269773846,2024
1025007,Company_1025007,North America,38004979.71630309,675.2522620136543,2025
1025016,Company_1025016,North America,43005516.50230781,313.6413793426858,2024
1025042,Company_1025042,Asia,30480547.89272377,539.6306805317199,2026
1025069,Company_1025069,North America,40217182.42833258,934.4300385240625,2025
1025122,Company_1025122,Africa,29523.189010381135,658.2474293548814,2024
1025174,Company_1025174,North America,26287.731160260093,190.61585999604588,2025
1025226,Company_1025226,South America,30239260.737175666,879.127706083772,2025
1025254,Company_1025254,Africa,23940624.215123788,279.9576225418249,2025
1025305,Company_1025305,Europe,29813678.76654027,347.1022789371018,2024
1025336,Company_1025336,Europe,29713.33670393749,219.7718188682153,2026
1025390,Company_1025390,Europe,44137161.44730421,746.3764559950607,2024
1025442,Company_1025442,Africa,7541415.459911579,887.2135147637172,2024
1025540,Company_1025540,Africa,36521.65126612329,704.4101988505437,2026
1025825,Company_1025825,Asia,11841045.572087048,183.79145761603263,2024
1026003,Company_1026003,Africa,29253877.8649981,782.4076576866208,2024
1026060,Company_1026060,North America,38235188.30055719,485.7836373539,2024
1026137,Company_1026137,Africa,45945.610481653064,293.22899234557667,2026
1026141,Company_1026141,South America,29461.737861098245,643.534269488841,2024
1026154,Company_1026154,North America,15223214.120093621,223.43188516104013,2024
1026262,Company_1026262,North America,13762.50235817622,773.0360786200666,2026
1026267,Company_1026267,North America,29825832.82431113,770.621741816384,2024
1026355,Company_1026355,North America,29683.74967616943,554.96536594791,2024
1026454,Company_1026454,Asia,37623294.09583757,944.111305813217,2026
1026694,Company_1026694,Africa,29113734.82395266,198.55299592786932,2026
1026706,Company_1026706,Europe,39714090.870660186,928.4017171461313,2026
1026881,Company_1026881,South America,24981312.51298656,749.5417078831905,2026
1026905,Company_1026905,Asia,45895.17024001049,205.24521262059247,2025
